"GeneID","Chr","Start","End","Strand","Length","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gap"
"hypothetical protein_248","CP080275",1476232,1476822,"+",591,5057.52473396961,-3.55359243562972,0.314240022964875,-11.3085290730994,1.19068865305442e-29,4.058972569073e-28,6240
"VOC family protein_4","CP080275",1483062,1483442,"-",381,26.4935910869231,-2.26920518254935,0.417887696484801,-5.43017945165056,5.62974135156444e-08,4.46735047573565e-07,36827
"helix-turn-helix domain-containing protein_20","CP080275",1520269,1521093,"-",825,2242.0577722927,-1.47843475014421,0.120108751272316,-12.3091343010655,8.08861215132769e-35,3.67646680878204e-33,15617
"response regulator transcription factor_3","CP080275",1536710,1537429,"+",720,2360.05623428687,-1.59875407199841,0.295993323322875,-5.40131802315846,6.61530261544799e-08,5.18628858024239e-07,16205
"50S ribosomal protein L13","CP080275",1553634,1554092,"+",459,18051.9470145442,1.02874555277848,0.259791527527649,3.959888771465,7.49846802881114e-05,0.00036331409814722,5214
"outer membrane protein transport protein_2","CP080275",1559306,1560412,"-",1107,1366.71014271506,1.35910205237516,0.147459554082412,9.21677853179716,3.06160031903336e-20,6.8759941282761e-19,4654
"trimethylamine methyltransferase family protein_2","CP080275",1565066,1566619,"+",1554,458.826750894786,-2.63919860203532,0.153853795061058,-17.1539389131606,5.8733012098793e-66,8.96970560772766e-64,102
"DUF6477 family protein","CP080275",1566721,1567017,"-",297,751.134035214703,-4.13602229425604,0.224698738993535,-18.4069670919472,1.1551297057977e-75,2.94019014449042e-73,240
"helix-turn-helix domain-containing protein_21","CP080275",1567257,1568330,"+",1074,266.683875225891,-3.25818701917169,0.278483689524763,-11.6997409246187,1.27843205817122e-31,4.8327263347502e-30,36007
"aquaporin family protein","CP080275",1604337,1604993,"-",657,254.679238963626,1.07025813405905,0.185660209326785,5.7646069555769,8.18483594006907e-09,7.20039253898242e-08,24030
"CoA transferase_3","CP080275",1629023,1630198,"-",1176,184.029864105031,4.02822585095382,0.293391295542037,13.7298751263623,6.72493212421599e-43,4.42686049142356e-41,42997
"enoyl-CoA hydratase/isomerase family protein_1","CP080275",1673195,1673947,"+",753,755.496956293187,-1.20027965952588,0.153058577924914,-7.84196270342134,4.43558124275474e-15,6.96915604314304e-14,31
"beta-lactamase family protein_2","CP080275",1673978,1675189,"+",1212,241.055944836857,-1.02470413898801,0.181297961769959,-5.65204445203971,1.58550571988381e-08,1.34820954087225e-07,2523
"acyl-CoA dehydrogenase_3","CP080275",1677712,1678932,"-",1221,7879.34196962285,2.45304595936183,0.106300203232905,23.0765876711183,7.95748240535805e-118,4.34023826052243e-115,6284
"substrate-binding domain-containing protein_3","CP080275",1685216,1686271,"-",1056,2765.45270040292,-1.03414306059093,0.254316799159762,-4.06635764529769,4.77536326052464e-05,0.000241168477892633,4862
"PAS domain-containing protein_2","CP080275",1691133,1691990,"+",858,7731.4398364043,-1.43084480002439,0.121849568389389,-11.7427153738608,7.69746680446901e-32,2.93889282594627e-30,48762
"HD-GYP domain-containing protein","CP080275",1740752,1742230,"+",1479,1528.27415797474,-1.76303822596726,0.144039998952145,-12.2399211246385,1.9021739574616e-34,8.44476763905625e-33,23482
"hypothetical protein_260","CP080275",1765712,1766236,"-",525,3271.23665258128,-1.53134544549311,0.129376983182232,-11.8363050971451,2.53371393089932e-32,9.9729069981171e-31,413
"PAS domain-containing protein_3","CP080275",1766649,1769900,"+",3252,11431.3316684237,-1.12846210233707,0.122420071176,-9.21795005914273,3.02834145390573e-20,6.84154300059887e-19,7923
"hypothetical protein_261","CP080275",1777823,1780831,"-",3009,374.807502322192,-1.05740820464281,0.124858926185822,-8.46882347097167,2.47884013892246e-17,4.63931943647351e-16,1905
"sn-glycerol-3-phosphate ABC transporter ATP-binding protein UgpC_3","CP080275",1782736,1783803,"-",1068,61.618343326742,1.1126312961857,0.241694870866567,4.60345431492402,4.15540382948724e-06,2.51431566101145e-05,874
"sugar ABC transporter permease_8","CP080275",1784677,1785627,"-",951,84.5382362085122,1.65379219224832,0.220418347474331,7.50296974457132,6.23879565306055e-14,8.88795589678551e-13,-18
"sugar ABC transporter substrate-binding protein_3","CP080275",1785609,1786865,"-",1257,253.070972588449,2.44004462735882,0.301711566660494,8.08734200801961,6.0980855232291e-16,1.00790002284367e-14,42
"aminotransferase class I/II-fold pyridoxal phosphate-dependent enzyme_5","CP080275",1786907,1788058,"-",1152,48.6653720567879,1.81848144822083,0.353298773243398,5.14714905892987,2.64475166156823e-07,1.93813087214347e-06,-7
"FCD domain-containing protein_1","CP080275",1788051,1788797,"-",747,89.5347337377588,2.28606932798425,0.352721040951761,6.48123889013158,9.09724976639113e-11,9.98083322071302e-10,1909
"vitamin B12-dependent ribonucleotide reductase","CP080275",1790706,1794350,"-",3645,5675.23063119353,1.61064473073097,0.130105606238442,12.3795182797825,3.37361583169034e-35,1.61005815567421e-33,27733
"holin family protein_1","CP080275",1822083,1822694,"-",612,76.4770313093773,-3.34626681018704,0.269442499907355,-12.419224180809,2.05545044628291e-35,9.93380987836475e-34,-9
"holin-associated N-acetylmuramidase_1","CP080275",1822685,1823296,"-",612,111.956173713309,-3.60693315587464,0.263379744252026,-13.6948008895596,1.09058895935216e-42,7.05740448611281e-41,20258
"type I glyceraldehyde-3-phosphate dehydrogenase_1","CP080275",1843554,1844555,"+",1002,954.527793295749,2.32258958176575,0.248490663830083,9.34678810852196,9.03497114497141e-21,2.12935307601857e-19,8360
"acyl-CoA dehydrogenase family protein_6","CP080275",1852915,1854060,"+",1146,1632.05947030309,2.27483208445453,0.115932357166767,19.6220635899106,1.00201861727497e-85,2.9428516005814e-83,8
"enoyl-CoA hydratase/isomerase family protein_2","CP080275",1854068,1855114,"+",1047,1102.77151184751,2.48556095451905,0.138014740404029,18.0093876005037,1.64437689253775e-72,2.98963379795672e-70,-3
"3-hydroxyisobutyrate dehydrogenase","CP080275",1855111,1855986,"+",876,2028.28158821534,1.67217179418017,0.144187572689744,11.5971977541939,4.25793085598334e-31,1.54826476268042e-29,5174
"dihydrolipoyl dehydrogenase_3","CP080275",1861160,1862554,"-",1395,4014.87195146838,-1.19842302883236,0.183783132666307,-6.52085428867033,6.99080727839583e-11,7.82724404367017e-10,192
"DUF924 domain-containing protein","CP080275",1862746,1863324,"-",579,417.767627895547,-2.30897262686576,0.364896053042244,-6.32775445942805,2.48754551076149e-10,2.58786069757149e-09,27613
"hypothetical protein_269","CP080275",1890937,1891257,"-",321,70.971353955372,-3.68960827459801,0.338710167897575,-10.8931134175864,1.24316250692186e-27,3.79711556114214e-26,13
"glycoside hydrolase/phage tail family protein","CP080275",1891270,1895226,"-",3957,432.139481079797,-4.360953635388,0.317344673575754,-13.7420098665906,5.68746957157824e-43,3.80960681127819e-41,0
"NlpC/P60 family protein","CP080275",1895226,1895696,"-",471,55.0610400136902,-4.37668693779854,0.462014593910922,-9.47304911031095,2.71791811518938e-21,6.60956137821215e-20,-3
"DUF2163 domain-containing protein","CP080275",1895693,1896643,"-",951,168.168124280478,-4.86551290385694,0.595532274889581,-8.17002387445596,3.0832843347011e-16,5.23199092883947e-15,0
"DUF2460 domain-containing protein","CP080275",1896643,1897275,"-",633,186.571603702782,-5.020824602583,0.345770134042652,-14.5207006281337,8.95898332965477e-48,6.70694085345528e-46,16
"phage tail tape measure protein_3","CP080275",1897291,1897947,"-",657,335.873596948217,-5.62300979028465,0.558146864675287,-10.0744269047466,7.1677428131091e-24,1.96880878132738e-22,-7
"phage tail assembly chaperone","CP080275",1897940,1898197,"-",258,170.621088350942,-5.81476524697165,0.804960882435226,-7.22366188699804,5.06059901409849e-13,6.90048822708144e-12,-3
"gene transfer agent family protein","CP080275",1898194,1898583,"-",390,238.595208830288,-5.9910269331673,0.440333063488148,-13.6056713200429,3.70550228507356e-42,2.31927995482145e-40,15
"phage major tail protein%2C TP901-1 family","CP080275",1898598,1899011,"-",414,190.686352194394,-4.40820451763692,0.249835688187096,-17.6444148136903,1.12331825571173e-69,1.86470830448146e-67,106
"DUF3168 domain-containing protein","CP080275",1899117,1899530,"-",414,253.049665554064,-6.06456289045735,0.703617775445837,-8.61911552279165,6.74732566378339e-18,1.32109176329872e-16,-3
"head-tail adaptor protein","CP080275",1899527,1899898,"-",372,153.674636400021,-6.03385496142808,0.521776764722719,-11.5640545332343,6.26778713656786e-31,2.25758597051095e-29,-3
"hypothetical protein_270","CP080275",1899895,1900542,"-",648,494.147936609178,-5.46868383313883,0.631796874287073,-8.65576272327994,4.89626278890514e-18,9.78739860106796e-17,187
"phage major capsid protein_2","CP080275",1900729,1901913,"-",1185,6631.68832078627,-5.63494360474784,0.310573107805637,-18.1436945541155,1.44016301482617e-73,3.05474577255908e-71,49
"HK97 family phage prohead protease","CP080275",1901962,1902579,"-",618,1174.67325560113,-5.43192214199823,0.542104360435163,-10.0200672387838,1.24418273060476e-23,3.39306404674928e-22,36
"hypothetical protein_271","CP080275",1902615,1902833,"-",219,209.741123102042,-5.64329759737021,0.387545515161761,-14.5616382504509,4.92629201370375e-48,3.91845477256686e-46,-7
"phage portal protein_3","CP080275",1902826,1904019,"-",1194,2117.01483421116,-5.25086058994503,0.483325267331224,-10.8640307984283,1.71029507911355e-27,5.18246556512344e-26,205
"terminase family protein_2","CP080275",1904224,1905516,"-",1293,337.175539103904,-4.14571340001995,0.268652692758918,-15.4314976613326,1.00510463399919e-53,9.5937237315223e-52,-28
"recombinase","CP080275",1905488,1905829,"-",342,142.773796062898,-4.33967672467209,0.272189605168559,-15.9435799246803,3.15736026436122e-57,3.65297014828216e-55,3231
"PilZ domain-containing protein","CP080275",1909060,1909818,"+",759,438.587763246039,-1.19806032328054,0.180443812369907,-6.63952012288753,3.14706038413984e-11,3.61911944176082e-10,17155
"porin_1","CP080275",1926973,1928103,"-",1131,6772.94896956116,1.48279146088663,0.12440382832758,11.919178700692,9.40308978775538e-33,3.81925497975e-31,7226
"DUF305 domain-containing protein","CP080275",1935329,1936153,"+",825,195.579255172776,-1.07602859804769,0.24029715302924,-4.47790822522461,7.53779915714809e-06,4.32121879609481e-05,28
"glutaredoxin","CP080275",1936181,1936942,"+",762,140.145375329701,-1.75996485757903,0.196053809437936,-8.97694802577239,2.78381319731962e-19,5.93776468567949e-18,23735
"aconitate hydratase AcnA","CP080275",1960677,1963364,"+",2688,10889.1029699353,1.1356944226884,0.180542888178156,6.29044120291087,3.1656493798126e-10,3.2059547300065e-09,25623
"host attachment family protein","CP080275",1988987,1989439,"-",453,1922.63375804334,-1.01421718998025,0.232797718727121,-4.35664574174408,1.32070764903509e-05,7.24491638508043e-05,16915
"molybdopterin-dependent oxidoreductase_2","CP080275",2006354,2006983,"-",630,746.36000305649,-1.08407977119887,0.225797060971049,-4.80112436599815,1.57777240039796e-06,1.01755659201341e-05,6936
"alginate biosynthesis protein","CP080275",2013919,2015289,"-",1371,3467.82317628993,-1.07127219332488,0.157807899731329,-6.78845732785711,1.13338891506426e-11,1.36939204990992e-10,31085
"MarR family winged helix-turn-helix transcriptional regulator","CP080275",2046374,2046805,"+",432,334.396169001973,2.43827824372697,0.36049494767154,6.7636960225822,1.34515163855202e-11,1.60493404874738e-10,59
"hypothetical protein_286","CP080275",2046864,2047292,"+",429,309.379637285966,2.54371337287775,0.249411923319636,10.1988443015125,2.00645776192633e-24,5.67455980372941e-23,4245
"HEPN domain-containing protein","CP080275",2051537,2052205,"-",669,1468.00752726212,-1.08892634674254,0.333373486703193,-3.2663855710638,0.00108929821903401,0.00405354834334489,-3
"DUF262 domain-containing protein","CP080275",2052202,2053245,"-",1044,3152.3263609335,-1.0151706417279,0.21644057087769,-4.69029737637116,2.72808267556455e-06,1.69362921224479e-05,32487
"phage tail protein_6","CP080275",2085732,2086157,"+",426,6.23139313120038,-1.90328782295446,0.800963945546954,-2.37624656332659,0.0174897714923544,0.0458626013446492,140
"tail protein X_3","CP080275",2086297,2086506,"+",210,15.4834969308434,-1.44546246835053,0.550596722218971,-2.62526529857487,0.00865814766194265,0.0250430361918917,-3
"phage tail protein_7","CP080275",2086503,2087483,"+",981,163.81667903687,-1.23613485982322,0.199323919581278,-6.2016383303117,5.58783739505667e-10,5.52703709179439e-09,36
"hypothetical protein_300","CP080275",2087519,2087704,"-",186,188.244142016374,-1.53531767709391,0.275553922059837,-5.57175040593513,2.5219255344729e-08,2.08413672957089e-07,224
"hypothetical protein_301","CP080275",2087928,2089154,"+",1227,3273.35909960902,-1.13492598524508,0.174749707069594,-6.49458018715363,8.32652711882531e-11,9.1615794062464e-10,3887
"TRAP transporter large permease subunit_1","CP080275",2093041,2095398,"-",2358,1607.16658190047,2.22172674746425,0.206341688845339,10.7672218827748,4.91611699309273e-27,1.47793186453764e-25,17
"C4-dicarboxylate ABC transporter permease","CP080275",2095415,2096341,"-",927,353.478757869644,2.61428415140715,0.148538085222658,17.6000932521,2.45918993087711e-69,3.912161315037e-67,182
"TRAP transporter substrate-binding protein_3","CP080275",2096523,2097605,"-",1083,8360.32215014367,2.54014478473963,0.0998487010610064,25.4399382039795,9.12291616951449e-143,6.96625878704127e-140,6126
"helix-turn-helix transcriptional regulator_5","CP080275",2103731,2104489,"+",759,799.322155337798,-1.54449490802012,0.248537389256209,-6.21433625195102,5.15420507570922e-10,5.1113649296254e-09,14038
"5-aminolevulinate synthase","CP080275",2118527,2119750,"-",1224,3235.68328029966,1.75894454251608,0.11568750869342,15.2042736712172,3.31284715958937e-52,3.01153582269338e-50,13753
"SPFH/Band 7/PHB domain protein","CP080275",2133503,2134396,"+",894,2189.35713589145,1.07232396745797,0.173387817813895,6.18454041914838,6.22836539380262e-10,6.12565033066268e-09,10039
"sigma-54 dependent transcriptional regulator_3","CP080275",2144435,2145670,"-",1236,168.44384867387,-1.0833882164682,0.217976821102119,-4.97019917526299,6.68841586933225e-07,4.59287262394074e-06,11463
"metal-binding protein ZinT","CP080275",2157133,2157786,"+",654,2490.07745990044,6.8795010911819,0.199854432379899,34.4225595062351,1.15938759777954e-259,2.21327092416114e-256,2618
"xanthine dehydrogenase family protein subunit M_2","CP080275",2160404,2161192,"-",789,815.163410480003,2.14527692676834,0.215994626524163,9.93208470641444,3.01877092191786e-23,8.11666716893125e-22,87
"xanthine dehydrogenase family protein molybdopterin-binding subunit_3","CP080275",2161279,2163642,"-",2364,632.853295594555,2.21296907703198,0.194963576876841,11.3506795088701,7.35885700066925e-30,2.53118162419416e-28,154
"(2Fe-2S)-binding protein_3","CP080275",2163796,2164281,"-",486,205.088520976103,2.17487901196697,0.280739215477331,7.74697260683408,9.4109248071179e-15,1.43310260385959e-13,17087
"cold-shock protein_1","CP080275",2181368,2181574,"+",207,4709.42880819621,1.6414140929403,0.322172396363245,5.09483156058357,3.49051454013005e-07,2.48634039444338e-06,57679
"hypothetical protein_327","CP080275",2239253,2239441,"-",189,561.351517395267,-1.01374953861978,0.190375624342899,-5.32499652788449,1.00954967946893e-07,7.75545407688605e-07,324
"YdcH family protein_1","CP080275",2239765,2240004,"-",240,616.600949789206,3.08071113412635,0.331037634172125,9.30622629004327,1.32454914565232e-20,3.06492644733367e-19,28870
"hypothetical protein_329","CP080275",2268874,2269089,"+",216,16688.7164489451,-2.49216797947772,0.23687803977129,-10.5208907583158,6.9216086089824e-26,2.01730547092327e-24,7155
"metal-dependent hydrolase","CP080275",2276244,2276936,"+",693,98.7633529719401,-1.11912468396206,0.225903967068502,-4.9539842017148,7.27091122690293e-07,4.94836703463733e-06,27873
"cobalamin biosynthesis protein CbiX","CP080275",2304809,2305558,"+",750,326.590686537098,-1.04325591981816,0.167689297885504,-6.2213625614348,4.92855780598274e-10,4.91311584941047e-09,4374
"pyridoxal-phosphate dependent enzyme_2","CP080275",2309932,2311404,"-",1473,90.6387194740327,-1.16195841862895,0.220771276909942,-5.26317750611617,1.41586757706155e-07,1.07045196222198e-06,3661
"hypothetical protein_332","CP080275",2315065,2315280,"+",216,24.6007224664957,-1.03951409488272,0.348573146377806,-2.9821978706186,0.00286186965704556,0.00953457098656191,2301
"transporter substrate-binding domain-containing protein_6","CP080275",2317581,2318417,"-",837,174.48827678193,-1.55139618741717,0.200121002608788,-7.75229070009189,9.02494923540906e-15,1.38382554942939e-13,44896
"2Fe-2S iron-sulfur cluster-binding protein_2","CP080275",2363313,2363636,"-",324,1125.57127682431,1.07594508889726,0.180697917998008,5.95438564438314,2.61050584809141e-09,2.39589214615697e-08,949
"Crp/Fnr family transcriptional regulator_3","CP080275",2364585,2365346,"+",762,376.648106116702,-1.13304575061899,0.189870758486299,-5.96745786266373,2.40978492383288e-09,2.23314534931892e-08,12157
"chemotaxis protein CheA_2","CP080275",2377503,2379728,"+",2226,3305.16358939449,-1.12953857487976,0.139728892490862,-8.08378678699987,6.27860622428857e-16,1.03326373122128e-14,8464
"nitrile hydratase accessory protein","CP080275",2388192,2388548,"-",357,394.178531399402,-1.25043171640404,0.19824799031806,-6.3074118148583,2.83740145052537e-10,2.90434282522945e-09,39407
"YHS domain-containing protein","CP080275",2427955,2428473,"-",519,2702.66436323121,1.10504594665684,0.200062321202812,5.52350857479361,3.32296066506721e-08,2.69364412297805e-07,13644
"DUF6455 family protein_1","CP080275",2442117,2442383,"-",267,201.659555296905,4.15828740851313,0.250232983612336,16.6176630613781,5.19172692309776e-62,7.07929049728117e-60,97
"DUF6455 family protein_2","CP080275",2442480,2442761,"-",282,315.863573972342,5.14524812193489,0.396534402942513,12.975540290462,1.68404632091346e-38,8.93012340728834e-37,16808
"aminotransferase class I/II-fold pyridoxal phosphate-dependent enzyme_7","CP080275",2459569,2460876,"+",1308,901.804242751772,-3.77371293681111,0.146057962808053,-25.8370914139783,3.39827314784079e-147,3.24365171961403e-144,32548
"co-chaperone GroES","CP080275",2493424,2493711,"-",288,16514.3747923683,1.08140921512156,0.271036548466913,3.98990180932579,6.61006535891372e-05,0.000324803468987549,1080
"manganese-dependent inorganic pyrophosphatase","CP080275",2494791,2495711,"+",921,7028.30015228066,-1.23138251800781,0.124077803733326,-9.92427719509248,3.26459382032421e-23,8.65570778194293e-22,528
"methyl-accepting chemotaxis protein_10","CP080275",2496239,2498209,"-",1971,1195.30224843064,-1.43186702255923,0.540408135049708,-2.64960301241121,0.00805864008774912,0.0236676060423278,5123
"hypothetical protein_351","CP080275",2503332,2503766,"+",435,37.1397818070863,1.54399104735073,0.285035519431192,5.41683734866402,6.06624778976878e-08,4.7754503219252e-07,51764
"ABC transporter substrate-binding protein_21","CP080275",2555530,2556564,"+",1035,3875.0223631542,-1.53035290647779,0.225658505278004,-6.78172047888221,1.18753070948406e-11,1.43028146650162e-10,2
"iron ABC transporter permease_2","CP080275",2556566,2557597,"+",1032,1144.1389434682,-1.22016918711413,0.148311129677975,-8.22709118164944,1.91814445635881e-16,3.28406974635782e-15,-3
"iron chelate uptake ABC transporter family permease subunit_2","CP080275",2557594,2558610,"+",1017,1027.31178552641,-1.3552251520811,0.188738502275272,-7.18043820282375,6.94883337322658e-13,9.40803043226209e-12,0
"ABC transporter ATP-binding protein_29","CP080275",2558610,2559392,"+",783,1010.29396521026,-1.32753655539782,0.239959242438457,-5.53234183400249,3.15983334425617e-08,2.58889349965022e-07,11
"siderophore-interacting protein","CP080275",2559403,2560455,"+",1053,1240.43454194559,-1.34870805516397,0.263892178232804,-5.11082997683299,3.20746551537341e-07,2.30623415022517e-06,-3
"MotA/TolQ/ExbB proton channel family protein_1","CP080275",2560452,2561519,"+",1068,1594.10236126949,-1.54825636686084,0.263571014256676,-5.87415263103662,4.25011658100063e-09,3.84524765551195e-08,5
"biopolymer transporter ExbD_1","CP080275",2561524,2561901,"+",378,397.300921968782,-1.34486325638457,0.219187654268744,-6.13567064655773,8.48006820103435e-10,8.13489959586662e-09,10
"biopolymer transporter ExbD_2","CP080275",2561911,2562288,"+",378,263.670566641698,-1.13421700150861,0.192775939469893,-5.88360251091263,4.01431265463627e-09,3.64053342408582e-08,-3
"TonB family protein_1","CP080275",2562285,2563133,"+",849,465.558019549924,-1.22482720469469,0.248487337569174,-4.92913327768148,8.25952167781591e-07,5.49387696270055e-06,16285
"hypothetical protein_356","CP080275",2579418,2579723,"-",306,3192.02348182479,-1.57232170915737,0.20106985392556,-7.81977844246843,5.29163894189352e-15,8.24631733883652e-14,858
"universal stress protein_5","CP080275",2580581,2580988,"-",408,491.196107816969,1.63014492033564,0.310183024800226,5.25542918212735,1.47679672721208e-07,1.11211240719837e-06,566
"hypothetical protein_357","CP080275",2581554,2582282,"+",729,444.962755948183,-1.06601734213715,0.143271913395365,-7.44051863951475,1.00290764348772e-13,1.41818569734671e-12,29
"right-handed parallel beta-helix repeat-containing protein","CP080275",2582311,2584596,"-",2286,4641.65571258592,-5.31238147510185,0.337635698055126,-15.7340633875583,8.83544169174393e-56,9.37047677196621e-54,17956
"Rrf2 family transcriptional regulator_3","CP080275",2602552,2603016,"-",465,778.929259843847,4.23523500302267,0.2674562851973,15.8352420093563,1.77773873876337e-56,1.93925900131387e-54,20751
"VOC family protein_10","CP080275",2623767,2624177,"+",411,209.85096432824,1.78680086703871,0.199651398519838,8.94960356043369,3.56761298887426e-19,7.56730355084552e-18,-3
"glyoxylate/hydroxypyruvate reductase A","CP080275",2624174,2625100,"+",927,461.716534684038,1.86420429859325,0.162017806415378,11.5061692281763,1.22813553319082e-30,4.30185455570878e-29,4482
"amino acid ABC transporter permease_2","CP080275",2629582,2630403,"-",822,112.783288899527,1.14655568014467,0.249429704233091,4.59670865452827,4.29217127293946e-06,2.5888641263954e-05,65
"transporter substrate-binding domain-containing protein_7","CP080275",2630468,2631280,"-",813,891.523219983424,1.02520920808778,0.191367646358236,5.35727552487432,8.44862337296761e-08,6.55626911341267e-07,6272
"glutathione S-transferase_3","CP080275",2637552,2638235,"+",684,450.051711606447,-1.6846115468018,0.204116609564942,-8.25318209229719,1.54231780569355e-16,2.65250873069278e-15,121
"YifB family Mg chelatase-like AAA ATPase","CP080275",2638356,2639858,"+",1503,844.634040351418,-1.57269412752717,0.158676271538808,-9.91133779660642,3.71636189952201e-23,9.78556533267244e-22,8191
"IS1380 family transposase_2","CP080275",2648049,2649395,"+",1347,826.837238658375,-1.20124609016542,0.243214471880415,-4.93904034935904,7.85079680806007e-07,5.24944697253473e-06,9743
"DUF1636 domain-containing protein_2","CP080275",2659138,2659563,"+",426,737.983392765533,1.81307112113246,0.250094668556443,7.24953927085925,4.18191700618090e-13,5.80602150167225e-12,-3
"ABC transporter ATP-binding protein_31","CP080275",2659560,2660345,"+",786,565.762571745547,1.76112438543671,0.131754562009495,13.3667051719226,9.46410521407363e-41,5.47484147080805e-39,15
"ABC transporter substrate-binding protein_22","CP080275",2660360,2661340,"+",981,3899.48414180032,1.97181674128956,0.135588631639557,14.5426406140844,6.50347253749078e-48,4.96605162962796e-46,2
"iron ABC transporter permease_3","CP080275",2661342,2662433,"+",1092,1294.03204900165,1.63985995645282,0.178123735314958,9.20629669905149,3.3757046718975e-20,7.53709967093838e-19,32507
"hypothetical protein_366","CP080275",2694940,2695317,"+",378,261.878670652993,1.01532718721058,0.157950381173111,6.42814015179739,1.29174618267903e-10,1.40110424018992e-09,19958
"FAD-dependent oxidoreductase_7","CP080275",2715275,2716564,"+",1290,883.524302523089,-1.13222051009809,0.163627187602017,-6.91951335649635,4.5319775922153e-12,5.80640619029463e-11,-3
"DUF1365 domain-containing protein","CP080275",2716561,2717313,"+",753,645.601146535532,-1.0414751036042,0.232093801698124,-4.48730253020202,7.2130615213822e-06,4.14751037479476e-05,0
"cyclopropane-fatty-acyl-phospholipid synthase family protein_2","CP080275",2717313,2718470,"+",1158,2361.88497908121,-1.12366107340736,0.164537124048699,-6.82922519707339,8.53744665720998e-12,1.04474267106499e-10,-7
"chalcone isomerase family protein","CP080275",2718463,2719026,"+",564,599.713279544317,-1.08260272102777,0.15751926763463,-6.87282728827115,6.29417548513468e-12,7.80232532540396e-11,0
"MFS transporter_18","CP080275",2719026,2720249,"+",1224,444.352970450642,-1.03003527681989,0.18344043792036,-5.615093860968,1.96455574859049e-08,1.63770171356299e-07,8931
"formate dehydrogenase subunit alpha_2","CP080275",2729180,2732155,"-",2976,694.845403417134,-1.30633389235635,0.20710661556657,-6.30754304386984,2.83499750215053e-10,2.90434282522945e-09,108
"twin-arginine translocation pathway signal protein","CP080275",2732263,2732454,"-",192,229.867146821264,-1.91408495353232,0.181509050011218,-10.5453967910362,5.33471912551553e-26,1.5789114435053e-24,60
"molecular chaperone TorD family protein","CP080275",2732514,2733161,"-",648,141.431991933813,-2.27463029716094,0.1887881688179,-12.0485849902755,1.97307964109188e-33,8.3702422996542e-32,47
"DUF3306 domain-containing protein","CP080275",2733208,2733939,"-",732,130.603522216921,-2.25368562268328,0.259125171429092,-8.69728560237536,3.39917148781049e-18,6.90321103215981e-17,-3
"DUF3305 domain-containing protein","CP080275",2733936,2734511,"-",576,102.886651499117,-2.40196466925409,0.247944389016407,-9.68751371540474,3.40721867275026e-22,8.61507343878177e-21,7105
"ABC transporter permease_29","CP080275",2741616,2742320,"-",705,143.189646614842,-1.56666378460764,0.192975654240544,-8.11845302856075,4.72163384734762e-16,7.9414969291512e-15,22157
"maleylacetate reductase","CP080275",2764477,2765538,"+",1062,14.2537058365603,-1.15802663908454,0.468689334113807,-2.47077659933124,0.013482001210451,0.0365065820010653,8664
"bifunctional GNAT family N-acetyltransferase/class I SAM-dependent methyltransferase","CP080275",2774202,2775497,"+",1296,564.969496902838,2.1718752574929,0.193197460242528,11.2417381406902,2.54324939713244e-29,8.37079844676868e-28,4968
"hypothetical protein_372","CP080275",2780465,2781316,"+",852,2465.36970963106,-1.32655680898066,0.185313192778535,-7.15845854842083,8.15892503211773e-13,1.10073412624118e-11,42697
"FAD-dependent oxidoreductase_8","CP080275",2824013,2826523,"-",2511,502.538929051775,-1.21149920960701,0.255352202603188,-4.74442435685449,2.09100095701416e-06,1.32615309865117e-05,644
"FAD-binding protein_1","CP080275",2827167,2828570,"-",1404,1221.57033637409,1.26484925763298,0.126422961814635,10.0049013207548,1.45036213989859e-23,3.92729265966867e-22,8393
"ABC transporter substrate-binding protein_25","CP080275",2836963,2837982,"+",1020,984.582268133777,1.2665319942098,0.193689260363212,6.53898926473654,6.19359702956811e-11,6.99619924819262e-10,52
"ABC transporter ATP-binding protein_36","CP080275",2838034,2838801,"+",768,132.099945748246,1.157293720262,0.259885546640282,4.45308996680704,8.46432669225562e-06,4.81621450238926e-05,35611
"2Fe-2S iron-sulfur cluster-binding protein_3","CP080275",2874412,2877627,"-",3216,225.084501867226,1.01415365493736,0.176420231850888,5.74851106529855,9.00327548955039e-09,7.90218524577089e-08,2886
"class II glutamine amidotransferase","CP080275",2880513,2881292,"-",780,183.395122789623,-2.12324485386465,0.174186389311031,-12.1894992040586,3.53587562901558e-34,1.55172105190592e-32,0
"aminotransferase class V-fold PLP-dependent enzyme_3","CP080275",2881292,2882761,"-",1470,411.272280537765,-2.45188875330382,0.24232393194911,-10.1182278348749,4.58644482906962e-24,1.27817856623269e-22,2596
"aminotransferase class III-fold pyridoxal phosphate-dependent enzyme_2","CP080275",2885357,2886754,"+",1398,3206.79661210218,-1.38669777299523,0.160509213689519,-8.63936556114214,5.65260369003573e-18,1.12404379627898e-16,6848
"TSUP family transporter_1","CP080275",2893602,2894348,"+",747,27.8865866671937,-1.24755975313363,0.369518195255558,-3.37617949305802,0.000734999517104617,0.00284896259523394,21301
"MarR family transcriptional regulator_7","CP080275",2915649,2916137,"-",489,187.627326054023,1.49720502465828,0.245599562386975,6.0961225260623,1.08672131048108e-09,1.02955383707612e-08,82
"DMT family transporter_18","CP080275",2916219,2917088,"+",870,278.571822531664,3.90078534786729,0.257788004816623,15.1317566177763,9.99902907547425e-52,8.67643022958198e-50,30855
