"GeneID" "Chr" "Start" "End" "Strand" "Length"
"684" "tetratricopeptide repeat protein_2" "CP080275" 297927 299675 "+" 1749
"685" "4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol kinase" "CP080275" 299665 300501 "+" 837
"686" "polyprenyl synthetase family protein_1" "CP080275" 300576 301574 "-" 999
"687" "DUF2007 domain-containing protein" "CP080275" 301632 301844 "+" 213
"688" "methyltransferase_1" "CP080275" 301844 302611 "+" 768
"689" "DUF465 domain-containing protein" "CP080275" 302770 302949 "+" 180
"690" "EamA family transporter_1" "CP080275" 303065 303931 "-" 867
"691" "transcriptional regulator GcvA" "CP080275" 303928 304869 "-" 942
"692" "acetoacetyl-CoA reductase" "CP080275" 305204 305926 "-" 723
"693" "acetyl-CoA C-acetyltransferase_1" "CP080275" 306132 307307 "-" 1176
"694" "EAL domain-containing protein_2" "CP080275" 307604 308425 "-" 822
"695" "sterol desaturase family protein_1" "CP080275" 308562 309497 "-" 936
"696" "hypothetical protein_121" "CP080275" 309490 309930 "-" 441
"697" "TlpA family protein disulfide reductase" "CP080275" 310049 310612 "-" 564
"698" "argininosuccinate lyase" "CP080275" 310635 312029 "+" 1395
"699" "hypothetical protein_122" "CP080275" 312111 312296 "+" 186
"700" "diaminopimelate decarboxylase" "CP080275" 312349 313614 "+" 1266
"701" "DUF4175 domain-containing protein" "CP080275" 313667 316480 "+" 2814
"702" "zinc-ribbon domain-containing protein" "CP080275" 316536 317417 "-" 882
"703" "ATP-binding cassette domain-containing protein_10" "CP080275" 317635 318312 "+" 678
"704" "cell division protein FtsX" "CP080275" 318309 319208 "+" 900
"705" "1-acyl-sn-glycerol-3-phosphate acyltransferase_2" "CP080275" 319205 319954 "+" 750
"706" "pyridoxamine 5'-phosphate oxidase family protein_1" "CP080275" 319932 320537 "+" 606
"707" "EthD family reductase" "CP080275" 320611 320925 "-" 315
"708" "dihydrolipoyl dehydrogenase_2" "CP080275" 321046 322443 "-" 1398
"709" "MAPEG family protein" "CP080275" 322534 322923 "-" 390
"710" "hypothetical protein_123" "CP080275" 322920 323447 "-" 528
"711" "hypothetical protein_124" "CP080275" 323464 323898 "-" 435
"712" "2-oxoglutarate dehydrogenase complex dihydrolipoyllysine-residue succinyltransferase" "CP080275" 323906 325459 "-" 1554
"713" "2-oxoglutarate dehydrogenase E1 component" "CP080275" 325466 328423 "-" 2958
"714" "succinate--CoA ligase subunit alpha" "CP080275" 328688 329572 "-" 885
"715" "hypothetical protein_125" "CP080275" 329589 329945 "-" 357
"716" "ADP-forming succinate--CoA ligase subunit beta" "CP080275" 329954 331147 "-" 1194
"717" "malate dehydrogenase" "CP080275" 331761 332723 "-" 963
"718" "sulfite exporter TauE/SafE family protein_1" "CP080275" 332887 333642 "+" 756
"719" "hypothetical protein_126" "CP080275" 333753 334082 "-" 330
"720" "CoA ester lyase" "CP080275" 334467 335321 "+" 855
"721" "NnrU family protein_1" "CP080275" 335357 335905 "+" 549
"722" "DUF1737 domain-containing protein" "CP080275" 335912 336115 "+" 204
"723" "MaoC family dehydratase_1" "CP080275" 336115 337146 "+" 1032
"724" "phosphoglycerate mutase family protein" "CP080275" 337228 337860 "+" 633
"725" "DUF1194 domain-containing protein" "CP080275" 337893 338582 "+" 690
"726" "succinate dehydrogenase%2C cytochrome b556 subunit" "CP080275" 338774 339157 "+" 384
"727" "succinate dehydrogenase%2C hydrophobic membrane anchor protein" "CP080275" 339176 339547 "+" 372
"728" "succinate dehydrogenase flavoprotein subunit" "CP080275" 339563 341368 "+" 1806
"729" "hypothetical protein_127" "CP080275" 341453 342367 "+" 915
"730" "succinate dehydrogenase iron-sulfur subunit" "CP080275" 342518 343297 "+" 780
"731" "hypothetical protein_128" "CP080275" 343510 343710 "+" 201
"732" "type III PLP-dependent enzyme_1" "CP080275" 344218 345399 "+" 1182
"733" "DUF1989 domain-containing protein" "CP080275" 345492 346367 "+" 876
"734" "purine-nucleoside phosphorylase" "CP080275" 346443 347147 "-" 705
"735" "H-NS histone family protein" "CP080275" 347171 347488 "-" 318
"736" "protein meaA" "CP080275" 347609 349576 "-" 1968
"737" "1-acyl-sn-glycerol-3-phosphate acyltransferase_3" "CP080275" 349918 351321 "+" 1404
"738" "crotonyl-CoA carboxylase/reductase" "CP080275" 351483 352763 "+" 1281
"739" "LuxR family transcriptional regulator_2" "CP080275" 353083 353802 "+" 720
"740" "autoinducer synthase_1" "CP080275" 353897 354538 "+" 642
"741" "ATP-dependent helicase" "CP080275" 354647 356185 "+" 1539
"742" "SDR family oxidoreductase_3" "CP080275" 356182 356940 "+" 759
"743" "TIGR02186 family protein" "CP080275" 357036 357926 "-" 891
"744" "sulfite exporter TauE/SafE family protein_2" "CP080275" 357928 358851 "-" 924
"745" "ABC transporter permease_13" "CP080275" 359085 361144 "-" 2060
"746" "ABC transporter ATP-binding protein_11" "CP080275" 361145 362674 "-" 1530
"747" "BMP family ABC transporter substrate-binding protein_1" "CP080275" 362873 363868 "-" 996
"748" "GNAT family N-acetyltransferase_5" "CP080275" 363998 364414 "-" 417
"749" "tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex dimerization subunit type 1 TsaB" "CP080275" 364479 365075 "-" 597
"750" "NifU family protein" "CP080275" 365065 365628 "-" 564
"751" "universal stress protein_1" "CP080275" 365791 366246 "-" 456
"752" "branched-chain amino acid aminotransferase_1" "CP080275" 366333 367199 "-" 867
"753" "phenylacetate-CoA oxygenase subunit PaaI" "CP080275" 367326 368093 "-" 768
"754" "2Fe-2S iron-sulfur cluster-binding protein_1" "CP080275" 368156 369229 "-" 1074
"755" "phenylacetate-CoA oxygenase subunit PaaJ" "CP080275" 369240 369713 "-" 474
"756" "phenylacetate-CoA oxygenase subunit PaaC" "CP080275" 369784 370557 "-" 774
"757" "1%2C2-phenylacetyl-CoA epoxidase subunit B" "CP080275" 370557 370841 "-" 285
"758" "1%2C2-phenylacetyl-CoA epoxidase subunit A" "CP080275" 370916 371893 "-" 978
"759" "3-oxoadipyl-CoA thiolase" "CP080275" 371917 373119 "-" 1203
"760" "sulfatase-like hydrolase/transferase_2" "CP080275" 373455 375101 "+" 1647
"761" "3-hydroxyacyl-CoA dehydrogenase NAD-binding domain-containing protein_1" "CP080275" 375376 377469 "+" 2094
"762" "acetyl-CoA C-acyltransferase_1" "CP080275" 377471 378646 "+" 1176
"763" "acyl-CoA dehydrogenase family protein_1" "CP080275" 378736 379935 "+" 1200
"764" "acyl-CoA/acyl-ACP dehydrogenase_2" "CP080275" 379932 381077 "+" 1146
"765" "PaaI family thioesterase_1" "CP080275" 381058 381522 "+" 465
"766" "acyl--CoA ligase_1" "CP080275" 381586 383091 "+" 1506
"767" "ribulose-phosphate 3-epimerase" "CP080275" 383157 383846 "-" 690
"768" "phosphonate ABC transporter ATP-binding protein" "CP080275" 384023 384841 "+" 819
"769" "phosphonate ABC transporter substrate-binding protein" "CP080275" 384899 385807 "+" 909
"770" "phosphonate ABC transporter%2C permease protein PhnE" "CP080275" 385967 388203 "+" 2237
"771" "chloramphenicol acetyltransferase" "CP080275" 388250 388864 "+" 615
"772" "phosphonate metabolism transcriptional regulator PhnF" "CP080275" 388908 389642 "-" 735
"773" "phosphonate C-P lyase system protein PhnG" "CP080275" 389751 390227 "+" 477
"774" "phosphonate C-P lyase system protein PhnH" "CP080275" 390227 390823 "+" 597
"775" "carbon-phosphorus lyase complex subunit PhnI" "CP080275" 390827 391936 "+" 1110
"776" "alpha-D-ribose 1-methylphosphonate 5-phosphate C-P-lyase PhnJ" "CP080275" 391970 392836 "+" 867
"777" "phosphonate C-P lyase system protein PhnK" "CP080275" 392836 393606 "+" 771
"778" "phosphonate C-P lyase system protein PhnL" "CP080275" 393616 394299 "+" 684
"779" "phosphonate metabolism protein/1%2C5-bisphosphokinase (PRPP-forming) PhnN" "CP080275" 394296 394868 "+" 573
"780" "DUF1045 domain-containing protein" "CP080275" 394850 395533 "-" 684
"781" "alpha-D-ribose 1-methylphosphonate 5-triphosphate diphosphatase_1" "CP080275" 395586 396728 "+" 1143
"782" "class I SAM-dependent methyltransferase_1" "CP080275" 396801 397280 "-" 480
"783" "polysaccharide deacetylase family protein" "CP080275" 397281 398039 "-" 759
"784" "glycosyltransferase_7" "CP080275" 398036 399178 "-" 1143
"785" "histidine phosphatase family protein_1" "CP080275" 399175 399765 "-" 591
"786" "glycosyltransferase family 4 protein_3" "CP080275" 399762 400796 "-" 1035
"787" "glycosyltransferase family 4 protein_4" "CP080275" 400877 402136 "-" 1260
"788" "hypothetical protein_129" "CP080275" 402133 403344 "-" 1212
"789" "mechanosensitive ion channel_1" "CP080275" 403786 406128 "+" 2343
"790" "CoA transferase_1" "CP080275" 406133 407509 "-" 1377
"791" "ABC transporter permease_14" "CP080275" 407547 409726 "-" 2180
"792" "ABC transporter substrate-binding protein_10" "CP080275" 409739 411682 "-" 1944
"793" "ABC transporter ATP-binding protein_12" "CP080275" 411675 413453 "-" 1779
"794" "class I SAM-dependent methyltransferase_2" "CP080275" 413730 414239 "+" 510
"795" "glutathione S-transferase_1" "CP080275" 414352 414981 "+" 630
"796" "TetR/AcrR family transcriptional regulator_4" "CP080275" 415102 415767 "+" 666
"797" "indolepyruvate ferredoxin oxidoreductase family protein_1" "CP080275" 415777 419199 "-" 3423
"798" "Lrp/AsnC family transcriptional regulator_3" "CP080275" 419339 419809 "+" 471
"799" "DUF3307 domain-containing protein" "CP080275" 419859 420194 "-" 336
"800" "cyclic nucleotide-binding domain-containing protein_2" "CP080275" 420546 423503 "+" 2958
"801" "fumarylacetoacetate hydrolase family protein_2" "CP080275" 423574 424422 "+" 849
"802" "mandelate racemase/muconate lactonizing enzyme family protein_2" "CP080275" 424522 425754 "-" 1233
"803" "Zn-dependent alcohol dehydrogenase" "CP080275" 425784 426875 "-" 1092
"804" "adenylosuccinate lyase family protein" "CP080275" 427022 428371 "-" 1350
"805" "3-oxoadipate enol-lactonase" "CP080275" 428553 429341 "-" 789
"806" "endonuclease/exonuclease/phosphatase family protein_1" "CP080275" 429436 430638 "-" 1203
"807" "threonine/serine dehydratase_1" "CP080275" 430676 431650 "-" 975
"808" "alpha/beta hydrolase_3" "CP080275" 431647 432465 "-" 819
"809" "haloacid dehalogenase type II" "CP080275" 432518 433204 "-" 687
"810" "peptidylprolyl isomerase_1" "CP080275" 433392 433820 "+" 429
"811" "nitronate monooxygenase" "CP080275" 433904 434998 "+" 1095
"812" "enoyl-ACP reductase" "CP080275" 435053 435844 "-" 792
"813" "beta-ketoacyl-ACP synthase I" "CP080275" 435851 437080 "-" 1230
"814" "bifunctional 3-hydroxydecanoyl-ACP dehydratase/trans-2-decenoyl-ACP isomerase" "CP080275" 437128 437637 "-" 510
"815" "transcriptional repressor_3" "CP080275" 437873 438289 "+" 417
"816" "LysR family transcriptional regulator_5" "CP080275" 438296 439204 "-" 909
"817" "phytanoyl-CoA dioxygenase family protein_1" "CP080275" 439329 440126 "+" 798
"818" "glycosyltransferase family 2 protein_5" "CP080275" 440166 441035 "-" 870
"819" "tRNA (N6-isopentenyl adenosine(37)-C2)-methylthiotransferase MiaB" "CP080275" 441179 442504 "+" 1326
"820" "OmpA family protein_2" "CP080275" 442719 443279 "+" 561
"821" "hypothetical protein_130" "CP080275" 443291 443593 "+" 303
"822" "PhoH family protein" "CP080275" 443747 444754 "+" 1008
"823" "rRNA maturation RNase YbeY" "CP080275" 444877 445407 "+" 531
"824" "hemolysin family protein" "CP080275" 445413 446312 "+" 900
"825" "apolipoprotein N-acyltransferase_2" "CP080275" 446309 447820 "+" 1512
"826" "methionine adenosyltransferase" "CP080275" 447937 449118 "+" 1182
"827" "ATP-dependent Clp protease proteolytic subunit_2" "CP080275" 449284 450003 "+" 720
"828" "tRNA (guanine(46)-N(7))-methyltransferase TrmB" "CP080275" 450096 450860 "+" 765
"829" "3-phosphoshikimate 1-carboxyvinyltransferase" "CP080275" 450994 452343 "+" 1350
"830" "(d)CMP kinase" "CP080275" 452340 452945 "+" 606
"831" "30S ribosomal protein S1" "CP080275" 453272 454951 "+" 1680
"832" "integration host factor subunit beta" "CP080275" 455285 455569 "+" 285
"833" "LapA family protein" "CP080275" 455569 455919 "+" 351
"834" "phosphoribosylanthranilate isomerase" "CP080275" 455927 456580 "+" 654
"835" "tryptophan synthase subunit beta" "CP080275" 456736 457989 "+" 1254
"836" "DUF2237 domain-containing protein" "CP080275" 458067 458450 "-" 384
"837" "beta-lactamase family protein_1" "CP080275" 458460 459623 "-" 1164
"838" "aminoacyl-tRNA hydrolase_2" "CP080275" 459701 460447 "-" 747
"839" "50S ribosomal protein L25/general stress protein Ctc" "CP080275" 460646 461275 "-" 630
"840" "alpha-hydroxy-acid oxidizing protein_1" "CP080275" 461400 462566 "-" 1167
"841" "tryptophan synthase subunit alpha" "CP080275" 462703 463494 "-" 792
"842" "acyloxyacyl hydrolase" "CP080275" 463607 464119 "-" 513
"843" "redox-regulated ATPase YchF" "CP080275" 464416 465513 "+" 1098
"844" "nucleoside hydrolase_1" "CP080275" 465669 466589 "+" 921
"845" "tyrosine-type recombinase/integrase_2" "CP080275" 467004 468185 "+" 1182
"846" "hypothetical protein_131" "CP080275" 468229 469068 "+" 840
"847" "MerR family transcriptional regulator_1" "CP080275" 469166 469375 "+" 210
"848" "hypothetical protein_132" "CP080275" 469555 469902 "+" 348
"849" "helix-turn-helix domain-containing protein_13" "CP080275" 469895 470380 "+" 486
"850" "SDR family NAD(P)-dependent oxidoreductase_1" "CP080275" 471382 472080 "+" 699
"851" "DegT/DnrJ/EryC1/StrS family aminotransferase_2" "CP080275" 472101 473198 "-" 1098
"852" "FdtA/QdtA family cupin domain-containing protein" "CP080275" 473198 473632 "-" 435
"853" "glycosyltransferase_8" "CP080275" 474058 475002 "+" 945
"854" "GntR family transcriptional regulator_3" "CP080275" 475032 475694 "-" 663
"855" "dihydrodipicolinate synthase family protein" "CP080275" 475856 476815 "+" 960
"856" "proline racemase family protein_2" "CP080275" 476806 477750 "+" 945
"857" "aldehyde dehydrogenase family protein_6" "CP080275" 477750 479180 "+" 1431
"858" "FAD-dependent oxidoreductase_2" "CP080275" 479234 480484 "+" 1251
"859" "methyl-accepting chemotaxis protein_4" "CP080275" 480652 482934 "+" 2283
"860" "M56 family metallopeptidase" "CP080275" 483079 484230 "-" 1152
"861" "BlaI/MecI/CopY family transcriptional regulator" "CP080275" 484220 484615 "-" 396
"862" "DUF2160 domain-containing protein" "CP080275" 484771 485049 "-" 279
"863" "carbohydrate ABC transporter permease_3" "CP080275" 485049 485846 "-" 798
"864" "sugar ABC transporter permease_4" "CP080275" 485861 486724 "-" 864
"865" "ABC transporter ATP-binding protein_13" "CP080275" 486724 487839 "-" 1116
"866" "ABC transporter ATP-binding protein_14" "CP080275" 487847 488923 "-" 1077
"867" "ABC transporter substrate-binding protein_11" "CP080275" 489077 490810 "-" 1734
"868" "RNA methyltransferase_1" "CP080275" 491138 492268 "+" 1131
"869" "2-dehydro-3-deoxygalactonokinase_1" "CP080275" 492297 493205 "-" 909
"870" "sugar transferase_3" "CP080275" 493983 494708 "+" 726
"871" "CpsD/CapB family tyrosine-protein kinase" "CP080275" 494783 495856 "+" 1074
"872" "DUF874 domain-containing protein" "CP080275" 495929 497215 "+" 1287
"873" "oligosaccharide flippase family protein_2" "CP080275" 497249 498613 "-" 1365
"874" "glycosyltransferase_9" "CP080275" 498758 499975 "+" 1218
"875" "glycosyltransferase_10" "CP080275" 499994 500836 "-" 843
"876" "hypothetical protein_133" "CP080275" 500833 504302 "-" 3470
"877" "4'-phosphopantetheinyl transferase superfamily protein_1" "CP080275" 504299 505012 "-" 714
"878" "LLM class flavin-dependent oxidoreductase_1" "CP080275" 505009 509655 "-" 4647
"879" "glycosyltransferase_11" "CP080275" 509652 510722 "-" 1071
"880" "SDR family NAD(P)-dependent oxidoreductase_2" "CP080275" 510719 517204 "-" 6486
"881" "hypothetical protein_134" "CP080275" 517470 518933 "-" 1464
"882" "WecB/TagA/CpsF family glycosyltransferase" "CP080275" 519095 519847 "+" 753
"883" "glycosyltransferase_12" "CP080275" 519867 520850 "-" 984
"884" "glycosyltransferase family 2 protein_6" "CP080275" 520850 521959 "-" 1110
"885" "glucokinase" "CP080275" 522132 523082 "+" 951
"886" "translocation/assembly module TamB domain-containing protein" "CP080275" 523109 526774 "-" 3666
"887" "BamA/TamA family outer membrane protein" "CP080275" 526771 528690 "-" 1920
"888" "urate hydroxylase PuuD" "CP080275" 528873 530105 "-" 1233
"889" "LysR family transcriptional regulator_6" "CP080275" 530287 531261 "+" 975
"890" "hydroxyisourate hydrolase" "CP080275" 531346 531717 "-" 372
"891" "allantoinase PuuE" "CP080275" 531872 533287 "+" 1416
"892" "ureidoglycolate lyase" "CP080275" 533331 533816 "+" 486
"893" "purine permease" "CP080275" 533957 535384 "+" 1428
"894" "glyceraldehyde-3-phosphate dehydrogenase" "CP080275" 535490 536551 "-" 1062
"895" "hypothetical protein_135" "CP080275" 536600 537112 "-" 513
"896" "(S)-ureidoglycine aminohydrolase" "CP080275" 537224 538054 "-" 831
"897" "helix-turn-helix domain-containing protein_14" "CP080275" 538235 539005 "-" 771
"898" "glutamine synthetase family protein_1" "CP080275" 539405 540856 "+" 1452
"899" "glycine cleavage system protein GcvH_2" "CP080275" 541495 541857 "+" 363
"900" "aminomethyl-transferring glycine dehydrogenase_2" "CP080275" 541999 544848 "+" 2850
"901" "acyl-CoA dehydrogenase family protein_2" "CP080275" 544994 546232 "+" 1239
"902" "7-cyano-7-deazaguanine synthase QueC" "CP080275" 546496 547194 "+" 699
"903" "6-carboxytetrahydropterin synthase QueD" "CP080275" 547194 547547 "+" 354
"904" "7-carboxy-7-deazaguanine synthase QueE" "CP080275" 547544 548341 "+" 798
"905" "preQ(1) synthase" "CP080275" 548367 548831 "+" 465
"906" "tRNA pseudouridine(38-40) synthase TruA" "CP080275" 549226 550002 "-" 777
"907" "YcjX family protein" "CP080275" 550148 551563 "+" 1416
"908" "GNAT family N-acetyltransferase_6" "CP080275" 551560 552099 "+" 540
"909" "TIGR01620 family protein" "CP080275" 552096 553151 "+" 1056
"910" "group III truncated hemoglobin" "CP080275" 553258 553668 "-" 411
"911" "SDR family oxidoreductase_4" "CP080275" 553825 555132 "+" 1308
"912" "DUF2269 domain-containing protein" "CP080275" 555134 555622 "+" 489
"913" "isoleucine--tRNA ligase" "CP080275" 555865 558915 "+" 3051
"914" "hypothetical protein_136" "CP080275" 559110 559457 "-" 348
"915" "methylated-DNA--[protein]-cysteine S-methyltransferase_1" "CP080275" 559703 560161 "+" 459
"916" "CDP-alcohol phosphatidyltransferase family protein_1" "CP080275" 560452 561147 "-" 696
"917" "hypothetical protein_137" "CP080275" 561308 561649 "-" 342
"918" "tyrosine recombinase XerC" "CP080275" 561747 562682 "-" 936
"919" "DUF484 family protein" "CP080275" 562679 563386 "-" 708
"920" "fructose-6-phosphate aldolase" "CP080275" 563570 564223 "-" 654
"921" "primosomal protein N'" "CP080275" 564371 566566 "+" 2196
"922" "YeeE/YedE family protein_1" "CP080275" 566619 567683 "-" 1065
"923" "MFS transporter_8" "CP080275" 567814 569049 "+" 1236
"924" "50S ribosomal protein L11 methyltransferase_1" "CP080275" 569186 570058 "+" 873
"925" "hypothetical protein_138" "CP080275" 570164 570508 "+" 345
"926" "DUF1127 domain-containing protein_1" "CP080275" 570713 570931 "-" 219
"927" "crossover junction endodeoxyribonuclease RuvC" "CP080275" 571315 571812 "+" 498
"928" "Holliday junction branch migration protein RuvA" "CP080275" 571809 572498 "+" 690
"929" "Holliday junction branch migration DNA helicase RuvB" "CP080275" 572616 573647 "+" 1032
"930" "hypothetical protein_139" "CP080275" 573955 574623 "+" 669
"931" "tol-pal system-associated acyl-CoA thioesterase" "CP080275" 574649 575035 "+" 387
"932" "protein TolQ" "CP080275" 575150 575845 "+" 696
"933" "protein TolR" "CP080275" 575849 576337 "+" 489
"934" "energy transducer TonB" "CP080275" 576351 577520 "+" 1170
"935" "Tol-Pal system beta propeller repeat protein TolB" "CP080275" 577517 578857 "+" 1341
"936" "peptidoglycan-associated lipoprotein Pal" "CP080275" 578979 579488 "+" 510
"937" "tol-pal system protein YbgF" "CP080275" 579495 580337 "+" 843
"938" "tRNA lysidine(34) synthetase TilS" "CP080275" 580436 581596 "+" 1161
"939" "ATP-dependent zinc metalloprotease FtsH" "CP080275" 581674 583587 "+" 1914
"940" "sulfurase" "CP080275" 583771 584349 "+" 579
"941" "formate--tetrahydrofolate ligase" "CP080275" 584617 586293 "+" 1677
"942" "chorismate mutase_1" "CP080275" 586354 586659 "+" 306
"943" "bifunctional methylenetetrahydrofolate dehydrogenase/methenyltetrahydrofolate cyclohydrolase FolD" "CP080275" 586700 587602 "+" 903
"944" "PaaI family thioesterase_2" "CP080275" 587732 588145 "-" 414
"945" "ligase-associated DNA damage response endonuclease PdeM" "CP080275" 588231 588905 "-" 675
"946" "ligase-associated DNA damage response DEXH box helicase" "CP080275" 588958 591393 "-" 2436
"947" "ATPase_1" "CP080275" 591469 592776 "-" 1308
"948" "prepilin peptidase" "CP080275" 592953 593459 "-" 507
"949" "tetratricopeptide repeat protein_3" "CP080275" 593479 594327 "-" 849
"950" "tetratricopeptide repeat protein_4" "CP080275" 594368 594970 "-" 603
"951" "type II secretion system F family protein_1" "CP080275" 594974 595954 "-" 981
"952" "type II secretion system F family protein_2" "CP080275" 595965 596933 "-" 969
"953" "CpaF family protein" "CP080275" 596933 598378 "-" 1446
"954" "AAA family ATPase_4" "CP080275" 598408 599640 "-" 1233
"955" "OmpA family protein_3" "CP080275" 599845 600471 "-" 627
"956" "type II and III secretion system protein family protein" "CP080275" 600491 601897 "-" 1407
"957" "Flp pilus assembly protein CpaB" "CP080275" 602125 602985 "-" 861
"958" "hypothetical protein_140" "CP080275" 603136 603312 "-" 177
"959" "hypothetical protein_141" "CP080275" 603403 603588 "-" 186
"960" "lytic transglycosylase domain-containing protein_1" "CP080275" 603942 604871 "+" 930
"961" "hypothetical protein_142" "CP080275" 605010 605513 "+" 504
"962" "3-oxoacid CoA-transferase subunit B" "CP080275" 605576 606205 "-" 630
"963" "CoA transferase subunit A" "CP080275" 606218 606937 "-" 720
"964" "type I DNA topoisomerase" "CP080275" 607191 609893 "-" 2703
"965" "DNA-processing protein DprA" "CP080275" 610007 611245 "-" 1239
"966" "metalloprotease TldD" "CP080275" 611541 612962 "-" 1422
"967" "cytochrome c oxidase subunit II" "CP080275" 613162 614001 "+" 840
"968" "heme o synthase" "CP080275" 614124 615065 "+" 942
"969" "cytochrome C oxidase assembly protein" "CP080275" 615067 615249 "+" 183
"970" "cytochrome c oxidase assembly protein" "CP080275" 615249 615836 "+" 588
"971" "cytochrome c oxidase subunit 3" "CP080275" 615861 616676 "+" 816
"972" "SURF1 family protein" "CP080275" 616795 617469 "+" 675
"973" "threonine synthase" "CP080275" 617474 618862 "+" 1389
"974" "insulinase family protein_1" "CP080275" 618859 620121 "+" 1263
"975" "GNAT family N-acetyltransferase_7" "CP080275" 620121 620711 "+" 591
"976" "FAD-binding oxidoreductase_3" "CP080275" 620761 622185 "+" 1425
"977" "MFS transporter_9" "CP080275" 622211 623431 "-" 1221
"978" "fasciclin domain-containing protein" "CP080275" 623673 624149 "-" 477
"979" "adenine phosphoribosyltransferase" "CP080275" 624412 624951 "-" 540
"980" "S-methyl-5'-thioadenosine phosphorylase" "CP080275" 625150 626025 "-" 876
"981" "helix-turn-helix domain-containing protein_15" "CP080275" 626399 627049 "-" 651
"982" "hypothetical protein_143" "CP080275" 627161 627911 "+" 751
"983" "hypothetical protein_144" "CP080275" 628202 628522 "+" 321
"984" "helix-turn-helix domain containing protein" "CP080275" 628515 630779 "+" 2265
"985" "ATP-binding protein_4" "CP080275" 630776 631501 "+" 726
"986" "hypothetical protein_145" "CP080275" 631498 631974 "+" 477
"987" "DUF3164 family protein_1" "CP080275" 631949 632641 "+" 693
"988" "HU family DNA-binding protein_1" "CP080275" 632692 632964 "+" 273
"989" "hypothetical protein_146" "CP080275" 633021 633595 "+" 575
"990" "regulatory protein GemA_1" "CP080275" 633645 634130 "+" 486
"991" "hypothetical protein_147" "CP080275" 634127 634330 "+" 204
"992" "hypothetical protein_148" "CP080275" 634579 634869 "+" 291
"993" "hypothetical protein_149" "CP080275" 634878 635072 "+" 195
"994" "hypothetical protein_150" "CP080275" 635160 635426 "+" 267
"995" "phage head morphogenesis protein_1" "CP080275" 635423 636340 "+" 918
"996" "hypothetical protein_151" "CP080275" 636621 636824 "-" 204
"997" "DUF1353 domain-containing protein" "CP080275" 636824 637258 "-" 435
"998" "hypothetical protein_152" "CP080275" 637271 637672 "-" 402
"999" "lysozyme_1" "CP080275" 637672 638502 "-" 831
"1000" "hypothetical protein_153" "CP080275" 638529 639155 "-" 627
"1001" "hypothetical protein_154" "CP080275" 639198 639614 "-" 417
"1002" "terminase family protein_1" "CP080275" 639611 641254 "-" 1644
"1003" "phage portal protein_1" "CP080275" 641363 642643 "-" 1281
"1004" "XkdF-like putative serine protease domain-containing protein" "CP080275" 642800 643726 "+" 927
"1005" "P2 family phage major capsid protein" "CP080275" 643723 644658 "+" 936
"1006" "hypothetical protein_155" "CP080275" 644662 645084 "+" 423
"1007" "hypothetical protein_156" "CP080275" 645094 645600 "+" 507
"1008" "phage baseplate assembly protein V_1" "CP080275" 645597 646001 "+" 405
"1009" "PAAR domain-containing protein_1" "CP080275" 646001 646291 "+" 291
"1010" "GPW/gp25 family protein_1" "CP080275" 646293 646646 "+" 354
"1011" "baseplate J/gp47 family protein_1" "CP080275" 646643 647536 "+" 894
"1012" "phage tail protein I_1" "CP080275" 647529 648188 "+" 660
"1013" "phage tail protein_1" "CP080275" 648185 650242 "+" 2058
"1014" "hypothetical protein_157" "CP080275" 650229 650849 "+" 621
"1015" "phage tail sheath subtilisin-like domain-containing protein_1" "CP080275" 650894 652063 "+" 1170
"1016" "phage major tail tube protein_1" "CP080275" 652079 652585 "+" 507
"1017" "phage tail assembly protein_1" "CP080275" 652599 652892 "+" 294
"1018" "phage tail tape measure protein_1" "CP080275" 653008 656085 "+" 3078
"1019" "phage tail protein_2" "CP080275" 656078 656533 "+" 456
"1020" "tail protein X_1" "CP080275" 656530 656736 "+" 207
"1021" "late control protein D_1" "CP080275" 656741 657712 "+" 972
"1022" "hypothetical protein_158" "CP080275" 657828 659363 "-" 1536
"1023" "SulP family inorganic anion transporter" "CP080275" 659634 661274 "+" 1641
"1024" "CatB-related O-acetyltransferase" "CP080275" 661383 662024 "-" 642
"1025" "flavin reductase family protein_1" "CP080275" 662034 662639 "-" 606
"1026" "N-acetyltransferase_1" "CP080275" 662850 663359 "+" 510
"1027" "EcsC family protein" "CP080275" 663443 664234 "+" 792
"1028" "DUF1178 family protein" "CP080275" 664357 664881 "+" 525
"1029" "SDR family oxidoreductase_5" "CP080275" 664895 665536 "+" 642
"1030" "serine protease" "CP080275" 665647 667446 "-" 1800
"1031" "glycine--tRNA ligase subunit alpha" "CP080275" 667738 668667 "+" 930
"1032" "DUF6446 family protein" "CP080275" 668701 669234 "+" 534
"1033" "glycine--tRNA ligase subunit beta" "CP080275" 669311 671554 "+" 2244
"1034" "pyruvate%2C phosphate dikinase" "CP080275" 671757 674336 "+" 2580
"1035" "cell wall hydrolase" "CP080275" 674472 675155 "+" 684
"1036" "dihydroneopterin aldolase" "CP080275" 675305 676225 "+" 921
"1037" "dihydropteroate synthase" "CP080275" 676222 677217 "+" 996
"1038" "phosphoglucosamine mutase" "CP080275" 677240 678586 "+" 1347
"1039" "DMT family transporter_4" "CP080275" 678669 679577 "-" 909
"1040" "EamA family transporter_2" "CP080275" 679651 680577 "-" 927
