"Start","GeneID.x","Chr.x","End.x","Strand.x","Length.x","GeneID.y","Chr.y","End.y","Strand.y","Length.y"
789926,"OL67_000770","1",790711,"+",785,"ATP-binding cassette domain-containing protein","CP080275",790711,"+",785
790770,"OL67_000771","1",792689,"-",1919,"beta-galactosidase","CP080275",792689,"-",1919
792698,"OL67_000772","1",793570,"-",872,"SMP-30/gluconolactonase/LRE family protein","CP080275",793570,"-",872
793560,"OL67_000773","1",794171,"-",611,"2-dehydro-3-deoxy-6-phosphogalactonate aldolase","CP080275",794171,"-",611
794168,"OL67_000774","1",795136,"-",968,"2-dehydro-3-deoxygalactonokinase","CP080275",795136,"-",968
795133,"OL67_000775","1",795903,"-",770,"SDR family oxidoreductase","CP080275",795903,"-",770
795903,"OL67_000776","1",797618,"-",1715,"dihydroxy-acid dehydratase","CP080275",797618,"-",1715
797615,"OL67_000777","1",799714,"-",2099,"alpha-galactosidase","CP080275",799714,"-",2099
799711,"OL67_000778","1",800559,"-",848,"carbohydrate ABC transporter permease","CP080275",800559,"-",848
800559,"OL67_000779","1",801506,"-",947,"sugar ABC transporter permease","CP080275",801497,"-",938
801653,"OL67_000780","1",802903,"-",1250,"ABC transporter substrate-binding protein","CP080275",802903,"-",1250
803038,"OL67_000781","1",803829,"+",791,"IclR family transcriptional regulator","CP080275",803829,"+",791
803848,"OL67_000782","1",804909,"+",1061,"sn-glycerol-3-phosphate ABC transporter ATP-binding protein UgpC","CP080275",804909,"+",1061
804975,"OL67_000783","1",805571,"-",596,"SDR family oxidoreductase","CP080275",805571,"-",596
805623,"OL67_000784","1",806237,"-",614,"glutathione S-transferase","CP080275",806237,"-",614
806491,"OL67_000785","1",806760,"+",269,"DksA/TraR family C4-type zinc finger protein","CP080275",806760,"+",269
806830,"OL67_000786","1",808674,"-",1844,"M3 family oligoendopeptidase","CP080275",808674,"-",1844
808819,"OL67_000787","1",809766,"-",947,"alpha/beta hydrolase","CP080275",809781,"-",962
809781,"OL67_000788","1",810068,"-",287,"SCP2 sterol-binding domain-containing protein","CP080275",810068,"-",287
810166,"OL67_000789","1",810735,"+",569,"tetratricopeptide repeat protein","CP080275",810735,"+",569
810777,"OL67_000790","1",813794,"+",3017,"disulfide oxidoreductase","CP080275",813794,"+",3017
813820,NA,NA,NA,NA,NA,"RNA-binding S4 domain-containing protein","CP080275",814188,"+",368
813823,"OL67_000791","1",814188,"+",365,NA,NA,NA,NA,NA
814253,"OL67_000792","1",814591,"+",338,"ferredoxin family protein","CP080275",814591,"+",338
814954,"OL67_000793","1",815466,"+",512,"CarD family transcriptional regulator","CP080275",815466,"+",512
815648,"OL67_000794","1",815914,"+",266,NA,NA,NA,NA,NA
816100,"OL67_000795","1",816858,"-",758,"adenosylcobinamide-GDP ribazoletransferase","CP080275",816858,"-",758
816958,"OL67_000796","1",817974,"+",1016,"nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase","CP080275",817974,"+",1016
818047,"OL67_000797","1",819939,"-",1892,"monovalent cation:proton antiporter-2 (CPA2) family protein","CP080275",819939,"-",1892
820176,"OL67_000798","1",821396,"-",1220,"PAS domain-containing protein","CP080275",821396,"-",1220
821459,"OL67_000799","1",821914,"-",455,"Lrp/AsnC family transcriptional regulator","CP080275",821914,"-",455
822059,"OL67_000800","1",823159,"+",1100,"4-hydroxyphenylpyruvate dioxygenase","CP080275",823159,"+",1100
823280,"OL67_000801","1",825994,"-",2714,"hypothetical protein","CP080275",825994,"-",2714
826164,"OL67_000802","1",826880,"+",716,"SIMPL domain-containing protein","CP080275",826880,"+",716
826947,"OL67_000803","1",828239,"-",1292,"O-acetylhomoserine aminocarboxypropyltransferase/cysteine synthase","CP080275",828239,"-",1292
828415,"OL67_000804","1",829404,"-",989,"hypothetical protein","CP080275",829404,"-",989
830094,"OL67_000806","1",830681,"-",587,"hypothetical protein","CP080275",830681,"-",587
830907,"OL67_000807","1",831176,"+",269,"helix-turn-helix domain-containing protein","CP080275",831176,"+",269
831163,"OL67_000808","1",831615,"+",452,"hypothetical protein","CP080275",831615,"+",452
832571,"OL67_000809","1",832699,"+",128,NA,NA,NA,NA,NA
832696,"OL67_000810","1",833925,"+",1229,"hypothetical protein","CP080275",835991,"+",3295
833922,"OL67_000811","1",835991,"+",2069,NA,NA,NA,NA,NA
836027,"OL67_000812","1",836494,"+",467,"hypothetical protein","CP080275",836494,"+",467
836502,"OL67_000813","1",836870,"-",368,"hypothetical protein","CP080275",836870,"-",368
836987,NA,NA,NA,NA,NA,"terminase small subunit","CP080275",837148,"+",161
837172,"OL67_000814","1",837438,"-",266,NA,NA,NA,NA,NA
837900,"OL67_000815","1",838085,"+",185,"hypothetical protein","CP080275",838085,"+",185
838669,"OL67_000816","1",839601,"-",932,"hypothetical protein","CP080275",839601,"-",932
839852,"OL67_000817","1",841345,"-",1493,"DUF3987 domain-containing protein","CP080275",841345,"-",1493
841342,"OL67_000818","1",842202,"-",860,"toprim domain-containing protein","CP080275",842202,"-",860
842202,"OL67_000819","1",842297,"-",95,NA,NA,NA,NA,NA
842294,"OL67_000820","1",842611,"-",317,"hypothetical protein","CP080275",842611,"-",317
842726,"OL67_000821","1",842905,"-",179,"AlpA family phage regulatory protein","CP080275",842905,"-",179
843042,"OL67_000822","1",844082,"-",1040,"hypothetical protein","CP080275",844082,"-",1040
844082,"OL67_000823","1",845266,"-",1184,"integrase arm-type DNA-binding domain-containing protein","CP080275",845266,"-",1184
845830,"OL67_000824","1",847572,"+",1742,"ATP-binding protein","CP080275",847572,"+",1742
847586,NA,NA,NA,NA,NA,"autoinducer synthase","CP080275",848401,"+",815
847793,"OL67_000825","1",848401,"+",608,NA,NA,NA,NA,NA
848432,"OL67_000826","1",849523,"-",1091,"alpha-hydroxy-acid oxidizing protein","CP080275",849523,"-",1091
849523,"OL67_000827","1",850077,"-",554,"sulfopyruvate decarboxylase subunit beta","CP080275",850077,"-",554
850074,"OL67_000828","1",850580,"-",506,"sulfopyruvate decarboxylase subunit alpha","CP080275",850580,"-",506
850618,"OL67_000829","1",851028,"-",410,"universal stress protein","CP080275",851028,"-",410
851057,"OL67_000830","1",852037,"-",980,"alcohol dehydrogenase catalytic domain-containing protein","CP080275",852037,"-",980
852034,"OL67_000831","1",852795,"-",761,"SDR family oxidoreductase","CP080275",852795,"-",761
852788,"OL67_000832","1",854095,"-",1307,"histidinol dehydrogenase","CP080275",854095,"-",1307
854108,"OL67_000833","1",855436,"-",1328,"TRAP transporter large permease","CP080275",855436,"-",1328
855449,"OL67_000834","1",855961,"-",512,"TRAP transporter small permease","CP080275",855961,"-",512
856071,"OL67_000835","1",857216,"-",1145,"TRAP transporter substrate-binding protein","CP080275",857216,"-",1145
857240,"OL67_000836","1",857425,"-",185,"hypothetical protein","CP080275",857425,"-",185
857555,"OL67_000837","1",858580,"+",1025,"LacI family DNA-binding transcriptional regulator","CP080275",858580,"+",1025
858811,"OL67_000838","1",860184,"+",1373,"aspartate aminotransferase family protein","CP080275",860184,"+",1373
860199,"OL67_000839","1",861383,"+",1184,"M24 family metallopeptidase","CP080275",861383,"+",1184
861388,NA,NA,NA,NA,NA,"acetylornithine deacetylase","CP080275",862542,"+",1154
861391,"OL67_000840","1",862542,"+",1151,NA,NA,NA,NA,NA
862553,"OL67_000841","1",863884,"-",1331,"GH1 family beta-glucosidase","CP080275",863884,"-",1331
863912,"OL67_000842","1",864943,"-",1031,"substrate-binding domain-containing protein","CP080275",864943,"-",1031
865192,"OL67_000843","1",866544,"+",1352,"ABC transporter substrate-binding protein","CP080275",866544,"+",1352
866702,"OL67_000844","1",867709,"+",1007,"sugar ABC transporter permease","CP080275",867709,"+",1007
867720,"OL67_000845","1",868868,"+",1148,"carbohydrate ABC transporter permease","CP080275",868868,"+",1148
868934,"OL67_000846","1",870592,"+",1658,"alpha-amylase family glycosyl hydrolase","CP080275",870592,"+",1658
870624,"OL67_000847","1",871715,"+",1091,"sn-glycerol-3-phosphate ABC transporter ATP-binding protein UgpC","CP080275",871715,"+",1091
871725,"OL67_000848","1",872804,"-",1079,"ABC transporter substrate-binding protein","CP080275",872804,"-",1079
872774,"OL67_000849","1",874189,"-",1415,"sensor histidine kinase","CP080275",874189,"-",1415
874186,"OL67_000850","1",874851,"-",665,"response regulator transcription factor","CP080275",874851,"-",665
874983,"OL67_000851","1",875960,"+",977,"tripartite tricarboxylate transporter substrate binding protein","CP080275",875960,"+",977
876110,"OL67_000852","1",876604,"+",494,"tripartite tricarboxylate transporter TctB family protein","CP080275",876604,"+",494
876606,"OL67_000853","1",878123,"+",1517,"tripartite tricarboxylate transporter permease","CP080275",878123,"+",1517
878178,"OL67_000854","1",879110,"-",932,"AEC family transporter","CP080275",879110,"-",932
879157,"OL67_000855","1",879954,"-",797,"MBL fold metallo-hydrolase","CP080275",879954,"-",797
879954,"OL67_000856","1",880775,"-",821,"TatD family hydrolase","CP080275",880775,"-",821
880818,"OL67_000857","1",881939,"-",1121,"DNA polymerase III subunit delta'","CP080275",881939,"-",1121
881936,"OL67_000858","1",882625,"-",689,"dTMP kinase","CP080275",882625,"-",689
882622,"OL67_000859","1",883812,"-",1190,"D-alanyl-D-alanine carboxypeptidase","CP080275",883812,"-",1190
883865,"OL67_000860","1",884794,"-",929,"SPOR domain-containing protein","CP080275",884782,"-",917
885284,"OL67_000862","1",886051,"-",767,"precorrin-6A synthase (deacetylating)","CP080275",886051,"-",767
886120,"OL67_000863","1",886797,"-",677,"energy-coupling factor ABC transporter permease","CP080275",886797,"-",677
887244,"OL67_000864","1",888008,"-",764,"uroporphyrinogen-III C-methyltransferase","CP080275",888008,"-",764
888005,"OL67_000865","1",889324,"-",1319,"cobyrinate a%2Cc-diamide synthase","CP080275",889324,"-",1319
889317,"OL67_000866","1",890111,"-",794,"precorrin-4 C(11)-methyltransferase","CP080275",890111,"-",794
890108,"OL67_000867","1",890485,"-",377,"cobalamin biosynthesis protein","CP080275",890485,"-",377
890482,"OL67_000868","1",891681,"-",1199,"bifunctional cobalt-precorrin-7 (C(5))-methyltransferase/cobalt-precorrin-6B (C(15))-methyltransferase","CP080275",891681,"-",1199
891680,NA,NA,NA,NA,NA,"cobalt-precorrin-6A reductase","CP080275",892423,"+",743
891761,"OL67_000869","1",892423,"+",662,NA,NA,NA,NA,NA
892405,"OL67_000870","1",893169,"-",764,"precorrin-3B C(17)-methyltransferase","CP080275",893169,"-",764
893166,"OL67_000871","1",893882,"-",716,"precorrin-2 C(20)-methyltransferase","CP080275",893882,"-",716
893885,"OL67_000872","1",894514,"-",629,"precorrin-8X methylmutase","CP080275",894514,"-",629
894516,"OL67_000873","1",895685,"-",1169,"precorrin-3B synthase","CP080275",895685,"-",1169
895682,"OL67_000874","1",898927,"-",3245,"cobaltochelatase subunit CobN","CP080275",898927,"-",3245
899086,"OL67_000875","1",900168,"-",1082,"cobalamin biosynthesis protein CobW","CP080275",900168,"-",1082
900173,"OL67_000876","1",900574,"-",401,"DUF1636 domain-containing protein","CP080275",900574,"-",401
900939,"OL67_000877","1",901574,"+",635,"cob(I)yrinic acid a%2Cc-diamide adenosyltransferase","CP080275",901574,"+",635
901672,"OL67_000878","1",902085,"-",413,"VOC family protein","CP080275",902459,"-",787
902082,"OL67_000879","1",902459,"-",377,NA,NA,NA,NA,NA
902499,NA,NA,NA,NA,NA,"winged helix-turn-helix transcriptional regulator","CP080275",903044,"+",545
902511,"OL67_000880","1",903044,"+",533,NA,NA,NA,NA,NA
903287,"OL67_000881","1",904876,"-",1589,"glycerol-3-phosphate dehydrogenase","CP080275",904876,"-",1589
904869,"OL67_000882","1",905654,"-",785,"DeoR/GlpR family DNA-binding transcription regulator","CP080275",905654,"-",785
905749,"OL67_000883","1",906855,"-",1106,"DUF1513 domain-containing protein","CP080275",906855,"-",1106
906860,"OL67_000884","1",907978,"-",1118,"imelysin family protein","CP080275",907978,"-",1118
907978,"OL67_000885","1",909618,"-",1640,"thiol oxidoreductase","CP080275",909618,"-",1640
909854,"OL67_000886","1",911122,"-",1268,"peptidase","CP080275",911122,"-",1268
911205,"OL67_000887","1",911711,"-",506,"hypothetical protein","CP080275",911711,"-",506
911708,"OL67_000888","1",911926,"-",218,"hemin uptake protein HemP","CP080275",911884,"-",176
911890,NA,NA,NA,NA,NA,"hypothetical protein","CP080275",912042,"-",152
912210,"OL67_000889","1",913031,"-",821,"LysR family transcriptional regulator","CP080275",913031,"-",821
913125,"OL67_000890","1",914036,"+",911,"MBL fold metallo-hydrolase","CP080275",914036,"+",911
914099,"OL67_000891","1",915817,"-",1718,"methionine--tRNA ligase","CP080275",915817,"-",1718
915932,"OL67_000892","1",917155,"-",1223,"MFS transporter","CP080275",917155,"-",1223
917300,"OL67_000893","1",917701,"-",401,"rhodanese-like domain-containing protein","CP080275",917701,"-",401
917909,"OL67_000894","1",918952,"+",1043,"aldo/keto reductase","CP080275",918952,"+",1043
919039,"OL67_000895","1",920130,"-",1091,"GlxA family transcriptional regulator","CP080275",920130,"-",1091
920263,"OL67_000896","1",921180,"+",917,"3-keto-5-aminohexanoate cleavage protein","CP080275",921180,"+",917
921242,"OL67_000897","1",921715,"-",473,"DUF1203 domain-containing protein","CP080275",921715,"-",473
921718,"OL67_000898","1",923265,"+",1547,NA,NA,NA,NA,NA
921790,NA,NA,NA,NA,NA,"carnitine 3-dehydrogenase","CP080275",923265,"+",1475
923262,"OL67_000899","1",924035,"+",773,"SDR family oxidoreductase","CP080275",924035,"+",773
924068,"OL67_000900","1",924928,"-",860,"helix-turn-helix domain-containing protein","CP080275",924928,"-",860
925038,"OL67_000901","1",925244,"+",206,"DUF2061 domain-containing protein","CP080275",925244,"+",206
925237,"OL67_000902","1",926193,"+",956,"fatty acid desaturase","CP080275",926193,"+",956
926211,"OL67_000903","1",927113,"+",902,"DMT family transporter","CP080275",927113,"+",902
927150,"OL67_000904","1",927917,"-",767,"NUDIX hydrolase","CP080275",927917,"-",767
927945,"OL67_000905","1",928361,"-",416,"DUF983 domain-containing protein","CP080275",928361,"-",416
928618,"OL67_000906","1",929121,"+",503,"EF-hand domain-containing protein","CP080275",929121,"+",503
929135,"OL67_000907","1",929794,"+",659,"RNA polymerase sigma factor","CP080275",929794,"+",659
929787,NA,NA,NA,NA,NA,"hypothetical protein","CP080275",930263,"+",476
929847,"OL67_000908","1",930263,"+",416,NA,NA,NA,NA,NA
930260,"OL67_000909","1",930739,"+",479,"periplasmic heavy metal sensor","CP080275",930739,"+",479
931000,"OL67_000910","1",932430,"-",1430,"diguanylate cyclase","CP080275",932430,"-",1430
932546,"OL67_000911","1",932830,"+",284,"DUF3572 domain-containing protein","CP080275",932830,"+",284
933067,"OL67_000912","1",933756,"+",689,"HAD family hydrolase","CP080275",933756,"+",689
933977,"OL67_000913","1",935536,"+",1559,"trimethylamine methyltransferase family protein","CP080275",935536,"+",1559
935630,"OL67_000914","1",937426,"+",1796,"DUF4153 domain-containing protein","CP080275",937426,"+",1796
937515,"OL67_000915","1",938102,"+",587,"heme NO-binding domain-containing protein","CP080275",938102,"+",587
938099,"OL67_000916","1",939106,"+",1007,NA,NA,NA,NA,NA
938102,NA,NA,NA,NA,NA,"diguanylate cyclase","CP080275",939106,"+",1004
940016,"OL67_000919","1",941758,"-",1742,"single-stranded-DNA-specific exonuclease RecJ","CP080275",941758,"-",1742
941901,"OL67_000920","1",942884,"-",983,"class II fructose-bisphosphatase","CP080275",942884,"-",983
943016,"OL67_000921","1",944302,"-",1286,"homoserine dehydrogenase","CP080275",944302,"-",1286
944485,"OL67_000922","1",944814,"-",329,"hypothetical protein","CP080275",944814,"-",329
944912,"OL67_000923","1",945529,"+",617,"TetR/AcrR family transcriptional regulator","CP080275",945529,"+",617
945609,"OL67_000924","1",946520,"-",911,"pirin family protein","CP080275",946520,"-",911
946754,"OL67_000925","1",947269,"+",515,"hypothetical protein","CP080275",947269,"+",515
947359,"OL67_000926","1",947958,"-",599,"pilus assembly protein","CP080275",947958,"-",599
947962,"OL67_000927","1",948522,"-",560,"pilus assembly protein","CP080275",948522,"-",560
948519,"OL67_000928","1",950201,"-",1682,"VWA domain-containing protein","CP080275",950201,"-",1682
950560,"OL67_000929","1",951990,"+",1430,"Glu/Leu/Phe/Val dehydrogenase","CP080275",951990,"+",1430
952428,"OL67_000930","1",953681,"+",1253,"sarcosine oxidase subunit beta family protein","CP080275",953681,"+",1253
953763,"OL67_000931","1",954023,"+",260,"sarcosine oxidase subunit delta","CP080275",954023,"+",260
954023,"OL67_000932","1",956944,"+",2921,"sarcosine oxidase subunit alpha family protein","CP080275",956944,"+",2921
956937,"OL67_000933","1",957482,"+",545,"sarcosine oxidase subunit gamma","CP080275",957482,"+",545
957521,"OL67_000934","1",957859,"+",338,"hypothetical protein","CP080275",957859,"+",338
957861,"OL67_000935","1",960110,"+",2249,"DNA primase","CP080275",960110,"+",2249
960241,"OL67_000936","1",962229,"+",1988,"RNA polymerase sigma factor RpoD","CP080275",962229,"+",1988
962449,"OL67_000937","1",962748,"+",299,"hypothetical protein","CP080275",962748,"+",299
962854,"OL67_000938","1",963528,"-",674,"SDR family oxidoreductase","CP080275",963528,"-",674
963789,"OL67_000939","1",964199,"+",410,"hypothetical protein","CP080275",964199,"+",410
964233,"OL67_000940","1",964724,"+",491,"hypothetical protein","CP080275",964724,"+",491
964765,"OL67_000941","1",965181,"+",416,"secondary thiamine-phosphate synthase enzyme YjbQ","CP080275",965181,"+",416
965302,"OL67_000942","1",965769,"+",467,"transcriptional regulator NrdR","CP080275",965769,"+",467
965808,"OL67_000943","1",966887,"+",1079,"bifunctional diaminohydroxyphosphoribosylaminopyrimidine deaminase/5-amino-6-(5-phosphoribosylamino)uracil reductase RibD","CP080275",966887,"+",1079
966934,"OL67_000944","1",968964,"-",2030,"capsular polysaccharide biosynthesis protein","CP080275",968964,"-",2030
968969,"OL67_000945","1",970105,"-",1136,"polysaccharide biosynthesis/export family protein","CP080275",970105,"-",1136
970202,"OL67_000946","1",971494,"-",1292,"capsular biosynthesis protein","CP080275",971494,"-",1292
971740,"OL67_000947","1",972333,"+",593,"riboflavin synthase","CP080275",972333,"+",593
972697,"OL67_000948","1",973818,"+",1121,"3%2C4-dihydroxy-2-butanone-4-phosphate synthase","CP080275",973818,"+",1121
973820,"OL67_000949","1",974371,"+",551,"6%2C7-dimethyl-8-ribityllumazine synthase","CP080275",974371,"+",551
974368,"OL67_000950","1",974859,"+",491,"transcription antitermination factor NusB","CP080275",974859,"+",491
975094,"OL67_000951","1",975423,"+",329,"hypothetical protein","CP080275",975423,"+",329
975855,"OL67_000952","1",976310,"+",455,"MmcB family DNA repair protein","CP080275",976310,"+",455
976331,"OL67_000953","1",976519,"-",188,"DUF6324 family protein","CP080275",976519,"-",188
976954,"OL67_000955","1",977205,"-",251,"DUF6476 family protein","CP080275",977268,"-",314
977267,"OL67_000956","1",978301,"+",1034,"RluA family pseudouridine synthase","CP080275",978301,"+",1034
978522,"OL67_000957","1",979418,"+",896,"RNA polymerase sigma factor RpoH","CP080275",979418,"+",896
979680,"OL67_000958","1",981632,"+",1952,"methyl-accepting chemotaxis protein","CP080275",981632,"+",1952
981912,"OL67_000959","1",982691,"-",779,"hydroxymethylpyrimidine/phosphomethylpyrimidine kinase","CP080275",982691,"-",779
982688,"OL67_000960","1",983656,"-",968,"HesA/MoeB/ThiF family protein","CP080275",983677,"-",989
983653,"OL67_000961","1",984246,"-",593,"thiamine phosphate synthase","CP080275",984246,"-",593
984270,"OL67_000962","1",985037,"-",767,"thiazole synthase","CP080275",985037,"-",767
985041,"OL67_000963","1",985238,"-",197,"sulfur carrier protein ThiS","CP080275",985238,"-",197
985207,"OL67_000964","1",986181,"-",974,"FAD-dependent oxidoreductase","CP080275",986181,"-",974
986178,"OL67_000965","1",987986,"-",1808,"phosphomethylpyrimidine synthase ThiC","CP080275",987986,"-",1808
988448,"OL67_000966","1",989425,"+",977,"biotin synthase BioB","CP080275",989425,"+",977
989425,"OL67_000967","1",990564,"+",1139,"8-amino-7-oxononanoate synthase","CP080275",990564,"+",1139
990561,"OL67_000968","1",991202,"+",641,"dethiobiotin synthase","CP080275",991202,"+",641
991199,"OL67_000969","1",992497,"+",1298,"adenosylmethionine--8-amino-7-oxononanoate transaminase","CP080275",992497,"+",1298
992498,"OL67_000970","1",993118,"+",620,"DUF452 family protein","CP080275",993118,"+",620
993115,"OL67_000971","1",993903,"+",788,"methyltransferase","CP080275",993903,"+",788
994009,"OL67_000972","1",994536,"+",527,"DUF2478 domain-containing protein","CP080275",994536,"+",527
994965,"OL67_000974","1",995741,"+",776,"23S rRNA (guanosine(2251)-2'-O)-methyltransferase RlmB","CP080275",995741,"+",776
995939,NA,NA,NA,NA,NA,"hypothetical protein","CP080275",996502,"+",563
996053,"OL67_000975","1",996502,"+",449,NA,NA,NA,NA,NA
996873,"OL67_000976","1",997343,"+",470,"CoA-binding protein","CP080275",997343,"+",470
997389,"OL67_000977","1",997706,"-",317,"phosphoribosyl-ATP diphosphatase","CP080275",997706,"-",317
997703,"OL67_000978","1",998464,"-",761,"imidazole glycerol phosphate synthase subunit HisF","CP080275",998464,"-",761
998499,"OL67_000979","1",998981,"-",482,"DUF2867 domain-containing protein","CP080275",998981,"-",482
999252,"OL67_000980","1",999698,"+",446,"DUF302 domain-containing protein","CP080275",999698,"+",446
999793,"OL67_000981","1",1000515,"-",722,"1-(5-phosphoribosyl)-5-[(5- phosphoribosylamino)methylideneamino]imidazole-4- carboxamide isomerase","CP080275",1000515,"-",722
1000648,"OL67_000982","1",1001034,"+",386,"DUF2147 domain-containing protein","CP080275",1001034,"+",386
1001151,"OL67_000983","1",1001402,"-",251,"WGR domain-containing protein","CP080275",1001402,"-",251
1001578,"OL67_000984","1",1002114,"-",536,"AhpC/TSA family protein","CP080275",1002114,"-",536
1002196,"OL67_000985","1",1002948,"+",752,NA,NA,NA,NA,NA
1002217,NA,NA,NA,NA,NA,"AraC family transcriptional regulator","CP080275",1002948,"+",731
1003046,"OL67_000986","1",1003684,"-",638,"imidazole glycerol phosphate synthase subunit HisH","CP080275",1003684,"-",638
1003686,"OL67_000987","1",1004273,"-",587,"imidazoleglycerol-phosphate dehydratase HisB","CP080275",1004273,"-",587
1004476,"OL67_000988","1",1004715,"+",239,"Lrp/AsnC family transcriptional regulator","CP080275",1004715,"+",239
1005129,"OL67_000989","1",1006481,"-",1352,"aminotransferase","CP080275",1006481,"-",1352
1007127,"OL67_000992","1",1008038,"-",911,"hypothetical protein","CP080275",1008038,"-",911
1008151,"OL67_000993","1",1009125,"-",974,"DNA cytosine methyltransferase","CP080275",1009125,"-",974
1009592,"OL67_000995","1",1009798,"+",206,"hypothetical protein","CP080275",1009798,"+",206
1009914,"OL67_000996","1",1013357,"-",3443,"pyruvate carboxylase","CP080275",1013357,"-",3443
1013484,"OL67_000997","1",1014689,"-",1205,"alpha-hydroxy-acid oxidizing protein","CP080275",1014689,"-",1205
1014914,"OL67_000998","1",1016707,"-",1793,"diguanylate cyclase","CP080275",1016707,"-",1793
1016799,"OL67_000999","1",1019306,"+",2507,NA,NA,NA,NA,NA
1016943,NA,NA,NA,NA,NA,"UvrD-helicase domain-containing protein","CP080275",1019306,"+",2363
1019663,"OL67_001000","1",1019881,"-",218,"DUF1127 domain-containing protein","CP080275",1019881,"-",218
1020201,"OL67_001001","1",1021271,"+",1070,"Mrp/NBP35 family ATP-binding protein","CP080275",1021271,"+",1070
1021981,"OL67_001002","1",1022562,"+",581,NA,NA,NA,NA,NA
1022095,NA,NA,NA,NA,NA,"division/cell wall cluster transcriptional repressor MraZ","CP080275",1022562,"+",467
1022566,"OL67_001003","1",1023573,"+",1007,"16S rRNA (cytosine(1402)-N(4))-methyltransferase RsmH","CP080275",1023573,"+",1007
1023570,"OL67_001004","1",1023944,"+",374,"cell division protein FtsL","CP080275",1023944,"+",374
1023941,"OL67_001005","1",1025728,"+",1787,"penicillin-binding protein 2","CP080275",1025728,"+",1787
1025744,"OL67_001006","1",1027228,"+",1484,"UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2%2C 6-diaminopimelate ligase","CP080275",1027228,"+",1484
1027225,"OL67_001007","1",1028637,"+",1412,"UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D- alanine ligase","CP080275",1028637,"+",1412
1028665,"OL67_001008","1",1029747,"+",1082,"phospho-N-acetylmuramoyl-pentapeptide- transferase","CP080275",1029747,"+",1082
1030064,"OL67_001009","1",1030978,"-",914,"glutaminase","CP080275",1030978,"-",914
1031108,"OL67_001010","1",1032505,"+",1397,"UDP-N-acetylmuramoyl-L-alanine--D-glutamate ligase","CP080275",1032505,"+",1397
1032509,"OL67_001011","1",1032952,"-",443,"MarR family transcriptional regulator","CP080275",1032952,"-",443
1032957,"OL67_001012","1",1033250,"-",293,"antibiotic biosynthesis monooxygenase","CP080275",1033250,"-",293
1033333,"OL67_001013","1",1034514,"-",1181,"NAD(P)/FAD-dependent oxidoreductase","CP080275",1034514,"-",1181
1034647,"OL67_001014","1",1035858,"+",1211,"putative lipid II flippase FtsW","CP080275",1035858,"+",1211
1035878,"OL67_001015","1",1036975,"+",1097,"UDP-N-acetylglucosamine--N-acetylmuramyl- (pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase","CP080275",1036975,"+",1097
1036972,"OL67_001016","1",1038369,"+",1397,"UDP-N-acetylmuramate--L-alanine ligase","CP080275",1038369,"+",1397
1038428,"OL67_001017","1",1038682,"+",254,"DUF2484 family protein","CP080275",1038930,"+",502
1038679,"OL67_001018","1",1038930,"+",251,NA,NA,NA,NA,NA
1039114,"OL67_001019","1",1040037,"+",923,"UDP-N-acetylmuramate dehydrogenase","CP080275",1040037,"+",923
1040325,"OL67_001020","1",1041245,"+",920,"D-alanine--D-alanine ligase","CP080275",1041245,"+",920
1041233,"OL67_001021","1",1042126,"+",893,"cell division protein FtsQ/DivIB","CP080275",1042126,"+",893
1042128,"OL67_001022","1",1043462,"+",1334,"cell division protein FtsA","CP080275",1043462,"+",1334
1043912,"OL67_001023","1",1045708,"+",1796,"cell division protein FtsZ","CP080275",1045708,"+",1796
1045923,"OL67_001024","1",1046858,"+",935,"UDP-3-O-acyl-N-acetylglucosamine deacetylase","CP080275",1046858,"+",935
1047425,"OL67_001025","1",1048273,"+",848,"outer membrane protein assembly factor BamD","CP080275",1048273,"+",848
1048301,"OL67_001026","1",1049947,"+",1646,"DNA repair protein RecN","CP080275",1049947,"+",1646
1050062,"OL67_001027","1",1051753,"+",1691,"chloride channel protein","CP080275",1051753,"+",1691
1051970,"OL67_001028","1",1052161,"+",191,"hypothetical protein","CP080275",1052161,"+",191
1052566,"OL67_001029","1",1052907,"-",341,"DUF427 domain-containing protein","CP080275",1052907,"-",341
1052970,"OL67_001030","1",1054772,"-",1802,"aminopeptidase P family protein","CP080275",1054772,"-",1802
1055006,"OL67_001031","1",1056883,"-",1877,"cobaltochelatase subunit CobT","CP080275",1056883,"-",1877
1057077,"OL67_001032","1",1058063,"-",986,"cobaltochelatase subunit CobS","CP080275",1058063,"-",986
1058448,"OL67_001033","1",1060622,"+",2174,NA,NA,NA,NA,NA
1058490,NA,NA,NA,NA,NA,"DEAD/DEAH box helicase","CP080275",1060622,"+",2132
1061018,"OL67_001034","1",1061641,"-",623,"J domain-containing protein","CP080275",1061641,"-",623
1061760,"OL67_001035","1",1062014,"+",254,"BolA family transcriptional regulator","CP080275",1062014,"+",254
1062089,"OL67_001036","1",1062790,"-",701,"DUF4177 domain-containing protein","CP080275",1062790,"-",701
1063071,"OL67_001037","1",1064585,"-",1514,"Asp-tRNA(Asn)/Glu-tRNA(Gln) amidotransferase subunit GatB","CP080275",1064585,"-",1514
